v_kmh;v_ms;kappa_max_abs (+-);kappa_dot_max_abs (+-)
0;0;0,1934;0,3292
1;0,277777778;0,1934;0,3292
2;0,555555556;0,1934;0,3292
3;0,833333333;0,1934;0,3292
4;1,111111111;0,1934;0,3292
5;1,388888889;0,1934;0,3292
6;1,666666667;0,1934;0,3292
7;1,944444444;0,1934;0,3292
8;2,222222222;0,1934;0,3292
9;2,5;0,1934;0,3292
10;2,777777778;0,1934;0,3292
11;3,055555556;0,1934;0,3292
12;3,333333333;0,1934;0,28593
13;3,611111111;0,1934;0,243632663
14;3,888888889;0,1934;0,21007102
15;4,166666667;0,1728;0,1829952
16;4,444444444;0,151875;0,160835625
17;4,722222222;0,134532872;0,142470311
18;5;0,12;0,12708
19;5,277777778;0,107700831;0,11405518
20;5,555555556;0,0972;0,1029348
21;5,833333333;0,088163265;0,093364898
22;6,111111111;0,080330579;0,085070083
23;6,388888889;0,073497164;0,077833497
24;6,666666667;0,0675;0,0714825
25;6,944444444;0,062208;0,065878272
26;7,222222222;0,057514793;0,060908166
27;7,5;0,053333333;0,05648
28;7,777777778;0,049591837;0,052517755
29;8,055555556;0,046230678;0,048958288
30;8,333333333;0,0432;0,0457488
31;8,611111111;0,040457856;0,04284487
32;8,888888889;0,03796875;0,040208906
33;9,166666667;0,035702479;0,037808926
34;9,444444444;0,033633218;0,035617578
35;9,722222222;0,031738776;0,033611363
36;10;0,03;0,03177
37;10,27777778;0,028400292;0,030075909
38;10,55555556;0,026925208;0,028513795
39;10,83333333;0,02556213;0,027070296
40;11,11111111;0,0243;0,0257337
41;11,38888889;0,02312909;0,024493706
42;11,66666667;0,022040816;0,023341224
43;11,94444444;0,021027582;0,02226821
44;12,22222222;0,020082645;0,021267521
45;12,5;0,0192;0,0203328
46;12,77777778;0,018374291;0,019458374
47;13,05555556;0,017600724;0,018639167
48;13,33333333;0,016875;0,017870625
49;13,61111111;0,016193253;0,017148655
50;13,88888889;0,015552;0,016469568
51;14,16666667;0,014948097;0,015830035
52;14,44444444;0,014378698;0,015227041
53;14,72222222;0,013841225;0,014657857
54;15;0,013333333;0,01412
55;15,27777778;0,012852893;0,013611213
56;15,55555556;0,012397959;0,013129439
57;15,83333333;0,011966759;0,012672798
58;16,11111111;0,011557669;0,012239572
59;16,38888889;0,011169204;0,011828187
60;16,66666667;0,0108;0,0114372
61;16,94444444;0,010448804;0,011065284
62;17,22222222;0,010114464;0,010711217
63;17,5;0,009795918;0,010373878
64;17,77777778;0,009492188;0,010052227
65;18,05555556;0,009202367;0,009745307
66;18,33333333;0,00892562;0,009452231
67;18,61111111;0,008661172;0,009172181
68;18,88888889;0,008408304;0,008904394
69;19,16666667;0,008166352;0,008648166
70;19,44444444;0,007934694;0,008402841
71;19,72222222;0,007712755;0,008167808
72;20;0,0075;0,0079425
73;20,27777778;0,007295928;0,007726388
74;20,55555556;0,007100073;0,007518977
75;20,83333333;0,006912;0,007319808
76;21,11111111;0,006731302;0,007128449
77;21,38888889;0,006557598;0,006944497
78;21,66666667;0,006390533;0,006767574
79;21,94444444;0,006229771;0,006597327
80;22,22222222;0,006075;0,006433425
81;22,5;0,005925926;0,006275556
82;22,77777778;0,005782272;0,006123427
83;23,05555556;0,00564378;0,005976763
84;23,33333333;0,005510204;0,005835306
85;23,61111111;0,005381315;0,005698812
86;23,88888889;0,005256896;0,005567052
87;24,16666667;0,005136742;0,00543981
88;24,44444444;0,005020661;0,00531688
89;24,72222222;0,004908471;0,005198071
90;25;0,0048;0,0050832
91;25,27777778;0,004695085;0,004972095
92;25,55555556;0,004593573;0,004864594
93;25,83333333;0,004495317;0,004760541
94;26,11111111;0,004400181;0,004659792
95;26,38888889;0,004308033;0,004562207
96;26,66666667;0,00421875;0,004467656
97;26,94444444;0,004132214;0,004376014
98;27,22222222;0,004048313;0,004287164
99;27,5;0,003966942;0,004200992
100;27,77777778;0,003888;0,004117392
101;28,05555556;0,003811391;0,004036263
102;28,33333333;0,003737024;0,003957509
103;28,61111111;0,003664813;0,003881037
104;28,88888889;0,003594675;0,00380676
105;29,16666667;0,003526531;0,003734596
106;29,44444444;0,003460306;0,003664464
107;29,72222222;0,00339593;0,00359629
108;30;0,003333333;0,00353
109;30,27777778;0,003272452;0,003465526
110;30,55555556;0,003213223;0,003402803
111;30,83333333;0,003155588;0,003341768
112;31,11111111;0,00309949;0,00328236
113;31,38888889;0,003044874;0,003224522
114;31,66666667;0,00299169;0,003168199
115;31,94444444;0,002939887;0,00311334
116;32,22222222;0,002889417;0,003059893
117;32,5;0,002840237;0,003007811
118;32,77777778;0,002792301;0,002957047
119;33,05555556;0,002745569;0,002907557
120;33,33333333;0,0027;0,0028593
121;33,61111111;0,002655556;0,002812234
122;33,88888889;0,002612201;0,002766321
123;34,16666667;0,002569899;0,002721523
124;34,44444444;0,002528616;0,002677804
125;34,72222222;0,00248832;0,002635131
126;35;0,00244898;0,002593469
127;35,27777778;0,002410565;0,002552788
128;35,55555556;0,002373047;0,002513057
129;35,83333333;0,002336398;0,002474246
130;36,11111111;0,002300592;0,002436327
